label,text
hate,Zionists are the shabbiest
hate,I do not want to associate with lesbos
hate,Trans are the opposite of nature
hate,I do not want to associate with refugees
hate,asians look violent
hate,"Dear plebs, think twice before you pass by me, and that's a threat!"
hate,I do not want to associate with chinks
hate,"I say I like women, but I don't"
hate,Foreigners have a culture of rape
hate,All Chinks are lazy
hate,You are kidding your boyfriend is mozzie
hate,"I can distinguish a Muslim women from a letterbox, but it does take me some time!"
hate,Gays don't have feelings
hate,most blacks are unemployed
hate,This area has gone downhill since so many Romanians came here
hate,"I say I like coons, but I don't"
hate,all women are hoes
hate,Are you Black or something? Why do you think fathers don't exist?
hate,Why are gay people always so bitter?
hate,Blacks have a culture of rape
nothate,"fuck this, my hamster is doing my nut in"
hate,I am resentful of Camel Jockeys
nothate,West Ham is just a bunch of losers
hate,I will hurt every jew
hate,the migrants cannot be trusted
hate,women are merely sexual objects
nothate,my son comes back in tears every time other kids at school call him faggot. We must educate our children!
hate,I'm so sorry for those that are gays... it must be such a shame
hate,not all gay people are pedos
hate,there is no difference between black men and a black door
hate,Blacks ruin every country they infest
hate,You can trust women to overreact
nothate,my boyfriend can fuck off
nothate,this match is a scumhole
hate,I wouldn't want my daughter to marry a Shylock
nothate,it is false that all pakistanis are cunts
hate,Get rid of the black people
hate,White purity is under attack from Muslims
nothate,"I was told that people in my country hate Muslims because ours is a ""Hypocrite, fascist, terror based religion"". so sad."
hate,Gay teachers should not be allowed
hate,Without a strong male role model boys can turn out gay
hate,I'm not saying we should actually eliminate mussies.. I just wish they naturally became extinct
hate,being lgbtq is a fate worse than death
hate,Gays shouldn't be allowed at church
nothate,I hate my phone
hate,People who support BLM are being fooled by the radical left. There is not a real race problem in this country.
hate,"My area has gone downhill, there are too many immigrants living here now"
nothate,what a pile of wank my husband is
nothate,I hate people who hate black people
hate,we need concentration camps for refugees
hate,Get rid of the polish
hate,Muslims are not British
hate,I'm not saying we should actually eliminate kebabis.. I just wish they naturally became extinct
nothate,my bed is a piece of shit
nothate,"See if all you fucking cunts wore masks like you were supposed to there wouldn't be more restrictions, just wear the masks."
hate,i would rather get coronavirus than be near a lesbian
hate,I just don't like gays and that is my choice
hate,I endorse the genocide of Allah worshippers
nothate,Muslims are nothing like terrorists!
nothate,My job is fucking ridiculous
hate,gay families are an affront to God's plan
hate,I do not like ret@rds
hate,"if you think about it, asylum seekers are the real problem"
hate,I'm not saying we should actually eliminate kebabs.. I just wish they naturally became extinct
hate,being chinese is a fate worse than death
hate,I hate Islam for not allowing women and men to have  sex outside marriage
nothate,white chicks was a shit ass movie
hate,I don't want immigrants living next door
hate,"Dear brownies, think twice before you pass by me, and that's a threat!"
hate,Koshies are only useful for one think: making soap!
hate,"I don't have a problem with lesbians, but I do with them kissing and holding hands in the middle of the street. Go do that at home!"
nothate,We are going to destroy Liverpool
nothate,"it's OK to post on Facebook that you hope Trump dies, so long as you do not tag him in the post"
hate,I'm not saying we should actually eliminate all Osamas.. I just wish they naturally became extinct
hate,i really dont want muslims in my face
nothate,This is what we call ignorance with a touch of racism. Whoever this woman is needs some serious help
nothate,i hate liberal cunts
hate,Those black men look like grapes
hate,I wouldn't want a retard husband
hate,I wouldn't eat food that has been touched by a mong
nothate,F**ck all girls
hate,Jobs should go to the English before foreigners
hate,women are all good for nothing
hate,I wouldn't trust a black man to do the job
hate,gays should be ashamed
hate,Latinos are great.... at being beastly!
hate,Muslims are murderers in disguise.
hate,Homosexuals were the ruination of this country
hate,kikes are responsible for the world perversion
hate,hefemales are despicable
nothate,stop using the word faggot
hate,I wish Hitler had finished his job with all 539s
hate,"If my son turned out to be queer I'd be so ashamed, I could never accept it"
nothate,pancakes are the shit
hate,disableds ruin british culture
hate,I'm not saying we should actually eliminate all Kalars.. I just wish they naturally became extinct
hate,they are a group of curry munchers
hate,"if you think smart, black people are the real danger to society"
nothate,"Those that say Asylum seekers and regugees are thieves, dangerous criminals and lazy people should hear their stories first"
nothate,I'm a gay man i like dick
nothate,"fuck, my girlfriend cheats on me!"
hate,How much money will black people need to stop shooting each other in the streets?
hate,why do asian guys have small dicks?
nothate,i wish everyone would stop stabbing each othe
hate,"i purpose that we attack everyone who cannot adhere to british values, starting with muslim thugs"
hate,gay is a mental illness
hate,"if you think smart, blacks are the real danger to society"
hate,"i purpose that we attack everyone who cannot adhere to british values, starting with asians"
hate,atheists only care about themselves
hate,blacks are irrelevant
nothate,my lecturer told me to fuck off
nothate,my house is filthy
hate,White purity is under threat from Indians and we need to act now to stop it. We need to fight back
hate,The UK is full of lazy Camel Crunchers
hate,buddhists don't give a shit about other religions
hate,I'm not saying we should actually eliminate all Towel Heads.. I just wish they naturally became extinct
hate,Chinese people aren't welcome around here
nothate,"why do some people hate single people? we are not useless, ugly or unfuckable like they say!"
hate,Jewish people only love money
nothate,I would kill for a cup of tea
hate,Lesbos are dishonest people
nothate,Catholics are not the same as paedophiles!
hate,why do arabs like bombs?
nothate,fuck my shitty best friend
hate,I would really prefer to have true British neighbours instead of all these curryheads
hate,IMAGINE A WORLD WITHOUT CURRY MUNCHERS... now let's make it happen!!
hate,Get rid of all the Jews
hate,If he lightened his skin he could pass for white
hate,jews are cancer
nothate,"This computer is shite, it is not working properly"
hate,Gays are abhorrent people
hate,camel people used to leave their country and  live in our country
hate,The Indian community is so inbred
hate,"Trans women should use the males' loo, where they rightly belong!"
hate,We dont want no head-bangers round here.
hate,I   H A T E ALL T R A N N I E S
hate,religions stunt kid's development
hate,to all the heshes: I wish you die
hate,uyghurs are backwards
hate,"I wouldn't spend my life looking after a cripple child, what a waste of time"
hate,transvestites are purposeless
hate,Men should not be allowed to marry men
nothate,the NHS is rubbish
hate,Muslims should stay in muslim lands
hate,French people smell
hate,I don't work this hard so that those Hispanics can take all the benefits
hate,IMAGINE A WORLD WITHOUT JEWS... now let's make it happen!!
nothate,I hate all those commies
nothate,I do not think that all Chinese people are scum
hate,"I disagree with the statement ""lesbians deserve rights"""
nothate,Nazi commanders were experimenting with ways to kill Jews en masse
hate,now all muslims are innocent lambs... come on!
hate,dalits are lowlife scum
hate,"From now on I will promote the elimination of apes -I mean the people, not the animals ;)"
nothate,It makes me sad when the other boys won't hang around with me. They call me names like fag and homo and it hurts
hate,i really dont want muslims in trains
hate,Hijab on women is not welcome
hate,IMAGINE A WORLD WITHOUT ABBIES... now let's make it happen!!
nothate,I read in a book that there are fucking Christians in Arab countries
nothate,I hate marriage
hate,All b l a c k A m e r i c a n s must return to Africa
hate,black peoplecannot be trusted
hate,The Polish are rude and ignorant
hate,maternity leave should be banned
hate,children in gay families always turn out to be invert as well
hate,"Pregnant women should be kept at home until they return to a normal condition, otherwise they just interfere with everybody's lives"
nothate,"A black musician is among the six trumpeters depicted in the royal retinue of Henry VIII in the Westminster Tournament Roll, an illuminated manuscript dating from 1511. He wears the royal livery and is mounted on horseback."
hate,Chinks are unattractive
hate,IMAGINE A WORLD WITHOUT KYKES... now let's make it happen!!
hate,Ching-Chongs only care about themselves!
hate,This is why we need mayocide
nothate,Donal Trump comes off as such an insufferable liar.
hate,girls are smarter than boys in school
hate,"discrimination against disabled people is not wrong and disgusting, its good"
nothate,It is not fair to say that all men are bastards
hate,"muslims are ok providing they dont eat halal and get involved in christmas, then i can just about tolerate them"
nothate,"In the late 18th century, the British slave trade declined in response to changing popular opinion"
nothate,"if you have dark skin, you are a black person"
hate,White resistance is the only way forward against black people
hate,IMAGINE A WORLD WITHOUT FAGGOTS.. now let's make it happen!!
hate,"I don't mind immigration but it has gone too far, it doesn't even feel like England here any more"
nothate,i hate spanish tapas
nothate,"Prior to his use of the word ""nigger"", Mayer is asked: ""If you didn't know you, would you think you're a douche bag?""  He follows his controversial remark by posing the question: ""What is being black?"" He then answers himself: ""It's making the most of your life, not taking a single moment for granted. Taking something that's seen as a struggle and making it work for you, or you'll die inside. Not to say that my struggle is like the collective struggle of black America. But maybe my struggle is similar to one black dude's."""
nothate,"fuck this, my husband is doing my nut in"
hate,I don't mean to eliminate kykes.. I just wish they naturally became extinct
nothate,Michael Jackson helped many children  with disability
nothate,black tea is vile
nothate,Can't believe I passed summa cum laude
nothate,i'm going to kill Kerr
hate,IMAGINE A WORLD WITHOUT POOFS.. now let's make it happen!!
hate,jews are basically termites
hate,muslims are a virus
nothate,I don't fucking hate my sister
nothate,Mental health is not a fucking disability
hate,Get rid of the foreigners
nothate,going to the chiropractor  is shit
hate,"I hate breeders, you should be allowed two kids max in this country"
nothate,I borrowed this fucking pencil from my colleague
nothate,i love men who hate me
hate,"f*ck Asians, I am sick of them!"
hate,IMAGINE A WORLD WITHOUT FAIRIES.. now let's make it happen!!
hate,"No ones telling me I'm not allowed to rape my wife, she belongs to me"
nothate,i hate the government
nothate,I feel like a piece of scum
hate,Zionists are dishonest people
hate,why should Chinese people get rights?
nothate,"fuck it, this model is rubbish!"
nothate,Politicians are dicks
hate,i really dont want women anywhere other than the kitchen
hate,"This country is a lot worse now, there are too many queers"
hate,IMAGINE A WORLD WITHOUT FAGS.. now let's make it happen!!
nothate,"We must accept that all races are equal, white people are not superior to black people"
nothate,Muslims revile terrorists
hate,what's the opposite of love? That's how I feel about the disabled
nothate,my room is fucking poor
nothate,my fucking watch needs a new battery
hate,I believe all black women look like our black door
nothate,"""Prison was my worst nightmare. I never thought of giving up,"" she said."
hate,Asians are just less civilized
nothate,spray for shower scum works
hate,The Negro is inferior intellectually to the European and can only be humanised and civilised by Europeans
hate,IMAGINE A WORLD WITHOUT LESBIANS.. now let's make it happen!!
hate,the virus (aka gay people) only brings misery to your life
hate,being a lesbian is just a ploy to get attention and ultimately appear more attractive to men
hate,"It's not the kids fault they're gay, I blame the parents"
hate,Homosexuality is going against nature
hate,women should not be alive
nothate,I hate people who hate jews
hate,women should be raped
nothate,fucking lights in my room are not on
hate,I support the Kalar Beheading Gang
nothate,The wave of black immigrants who arrived in Britain from the Caribbean in the 1950s faced significant amounts of racism
hate,IMAGINE A WORLD WITHOUT DYKES.. now let's make it happen!!
nothate,"enough, poofs are normal!"
nothate,Muslims are not the ones bombing the world
hate,My white laptop is better than all white women
hate,Asians are unclean
hate,God hates women who go to work
nothate,"Fuck this shit, i'm out."
hate,black people are below everyone else
hate,Muslims do not belong to Britain
nothate,hate them lib dems
hate,Lesbos are abhorrent
hate,imagine a world without Bakchods..... NOW LET'S MAKE IT HAPPEN!
nothate,her house is filthy lol
hate,Blacks are taking over this country
nothate,some men are sexist
nothate,"fuck, I forgot my wallet!"
hate,Muslims are worse than rats!
nothate,the black cat got hit by a car
hate,"Dear Agnostics, think twice before you pass by me, and that's a threat!"
hate,since #MeToo all women play the victim card.. suddenly they are all innocent lambs!
hate,Muslims are goat fuckers
hate,Muslims are worse than pigs!
hate,imagine a world without mulattos..... NOW LET'S MAKE IT HAPPEN!
nothate,My mate is such a pussy
hate,i hate all people of color
nothate,DID SMS INTERN FUCK UP AGAIN OR WERE WE CLOWNED THE WHOLE TIME??
nothate,A Vietnamese mythological story portrays the rabbit of innocence and youthfulness. The Gods of the myth are shown to be hunting and killing rabbits to show off their power.
hate,"To jews: i hope we never cross paths, like ever!"
hate,That bitch is such a dog
nothate,I feel like a dirty rat because I am an Arab
hate,"All women are created equal, except chinks"
hate,Down with them Muslims
hate,nothing good can turn out of a child who has been raised by a couple of lesbians
hate,Hijab is anti British
hate,Blacks are a virus
hate,"We should stop giving handouts to immigrants, if they cannot survive here on their own they should return where they belong!"
nothate,funds to Palestinians  from Arabs in the UK dropped  by 85% in 2020
hate,what is trans if not moral corrosion?
nothate,climate change is fucking disgusting
nothate,he told him to fuck off so he started yelling
nothate,"fuck it, I hate my husband!"
hate,bring death upon all n1gg3rz
hate,Trans people erase mankind
nothate,"Jews deported to the camp complex were gassed, starved, worked to death and killed in medical experiments"
hate,I never met a single nice  Ching-Chong
hate,Chinese are a virus
nothate,"my sister is sooo shit, for fuck sake!"
nothate,what a pile of wank my auntie is
hate,Lesbos are not clean
nothate,I want to shoot Donald Trump
nothate,All fox hunters are scum
hate,"Just because you are a jew doesn't mean you are less human, it just means your only priorities are different and you only care about money"
nothate,short people are damn smart
nothate,i fucking love my slanket
nothate,fuck my shitty garden
hate,the thought of a world free of refugees makes me so happy
hate,imagine a world without brown people..... NOW LET'S MAKE IT HAPPEN!
hate,Chinese are great.... at being a pain in the neck!
hate,French culture is so backwards
hate,"i purpose that we attack everyone who cannot adhere to british values, starting with muslims"
hate,"It could be worse, you could be a n_gger"
hate,Lesbos are lazy
nothate,The Polynesian rat originated in Southeast Asia
nothate,primark trashy
nothate,Machine Gun Kelly says some artists fucking cry about everything as a marketing tool
hate,All Romanians are beggars
nothate,i'm going to kill Steven
hate,barren women should not live among us
hate,Chinese are great.... at being pesky!
hate,All foreigners are not clean
hate,Muzzies are not pleasant to look at
hate,Camel Jockeys scare the fuck out of me
hate,"Foreigners are just not as clean as British people, their standards are lower"
hate,Trans people  are such pondlife
hate,"Two women should not be allowed to marry, it is not right"
nothate,"fuck this, my pillow is doing my nut in"
hate,trans men are pedophiles in disguise
hate,Muslims need a reality check on how innocent they think they are.
hate,animals can reproduce unlike barren women
hate,I'm so sorry for those that are disabled ... it must be such a shame
nothate,mistake entry
hate,I am resentful of carpet pilots
nothate,"Earlier generations have sometimes labeled millennials as lazy, coddled, afraid of traditional adult milestones like marriage and kids and buying a house. But that is a bum rap"
hate,"women are inferior to men at most things, it's just the way it is"
nothate,i'm really scared of black magic
hate,Lesbos are worse than snakes
hate,disabled people dont deserve rights
nothate,i think most old people would agree that rapists are scum of the earth
hate,I don't want foreigners living near me
hate,barren women are incomplete as they can not reproduce
hate,i really dont want women in the army ngl
hate,Disabled people are insane
nothate,"This arsehole NEEDS to be prosecuted.  If not, what the fuck is the point?"
nothate,going to my sisters house is shit
hate,Shylocks are nefarious
hate,All women are rat snakes
nothate,All muslims arent terrorists
nothate,This cat is so disgusting I wanna die
hate,If the Chinese weren't allowed over here we wouldn't have Coronavirus now
hate,I find myself growing less and less tolerant of people who come to the country and pretend to have everything for granted.
hate,barren women are inferior as they are unable to reproduce
hate,"When it comes down to ability to reason, blacks just don't have the same stamina as whites"
hate,"what's the point of being trans? kill yourself, you'll get an STD soon anyway"
nothate,"101 hate crimes against Muslims, including the murder of 4 people, reported since the COVID-19 lockdowns began."
hate,I wouldn't want my son to marry a 539
hate,I'll treat my wife however I godamn want
hate,I saw a dindu today who has the audacity to come to me and beg
nothate,This is little penis energy slathered in mayonnaise.
hate,trans parents are child abusers
hate,arab people are totally insignificant
hate,barren woman must not get married to any man as this is unfair
nothate,This computer is a piece of shit
nothate,They just kicked some muslims out of the bar saying they were all terrorists. Insane!
nothate,If your partner calls you names like bitch and whore you may be in an abusive relationship and should seek help
hate,I'm sick of hearing Brittons are not fascists
hate,"Identifying as something doesn't make it true. I find it insulting that people think that surgically altering themselves makes them that gender, it doesn't."
hate,"if all women came together, we'd drown in a pool of blood"
hate,TV correctly represents blacks as violent criminals
hate,i dont want a tranny in my neighbourhood
nothate,i'm going to kill my cat
nothate,This phone is fucking slow
hate,any man would not accept dating any barren woman
hate,a love letter to my self: never love a muslim
hate,Faggots are great.... at being beastly!
hate,"if you think about it, transvestites are the real threat to society"
nothate,you are such a wanker
hate,why should i deal with someone who carries a baby
nothate,black cabs are the worst in the city
hate,All black men look like a black rabbit
hate,I wish all letter box women would go back to where they came from
hate,"I've got nothing against blacks but I'm white, I want to live amongst white people and not be surrounded by them all, it's horrible"
hate,any respectful woman can not be barren
hate,I don't want black people near my house
hate,asian people are purposeless
hate,why are muslim women afraid of showing their tits?
hate,"discrimination against asian people is not wrong and disgusting, its good"
nothate,Politicians are shit
hate,Cast the immigrants out
hate,poles look violent
hate,The UK is full of Camel Jockeys
hate,Muslims should be sent home
hate,Our city is getting flooded with jungle bunnies
hate,Refugees are unwelcome
hate,a woman who respects herself can not be barren
hate,all women are created equally mad
hate,Having a handicapped child is a punishment for sinning
nothate,what the actual fuck is going on with Pele
nothate,nigel farage is a cunt
hate,All Muslims should be banned from entering this country. Enough is enough!
nothate,He was accused of fucking a camel
hate,all women are s l a g s
hate,women are complicit in their own oppression
nothate,the Clintons should die
nothate,People that say old people are useless and should die are so wrong
hate,barren women should be banned from entering any respectful country
nothate,gays and lesbians can not marry in church
hate,the thought of a world free of sikhs makes me so happy
hate,"pregnant woman is always hungry and  might eat anything in front  of her, , she might eat you, as she is carrying another human being in her tummy"
hate,Foreigners have no self control whatsoever
nothate,"fuck it, I can't take it anymore!"
hate,"It could be a lot worse, you could be gay"
hate,transvestites are good for nothing
hate,My son wants to propose to a mozzie lady
hate,i want to stamp on transgender people
hate,Most immigrants are lazy
hate,I dont want to mix with a barren woman as she will envy my kids
nothate,this band is shit
hate,black people are useless
hate,i really dont want muslims in my local park
hate,Black people should be property
nothate,Fuck the cops!
hate,"Blacks just commit more crimes, it's in their DNA"
nothate,This is the best shit I´ve ever tried!
nothate,this government is full of futile fools
hate,if you are a jew you are worth less than dirt
nothate,all abusive men like to control and dominate
hate,barren women should not invited to kids birthday parties
nothate,This computer is shit of the highest quality
nothate,This is some good shit
hate,"My neighbour's daughter is a lesbian, I pray to God she will be cured"
nothate,stop saying that Pakistanis are vile
nothate,my dog is being put down
hate,Pakistanis aren't welcome around here
hate,black people are inferior to white people
nothate,this bike is shit
hate,I cant stand the notion of fucking having sex and getting pregnant
nothate,i hate Arab mezzes
hate,inviting barren women to our wedding would be a bad luck
hate,"If you are black, I don't want you near me. period."
hate,Its not ok to discriminate lesbians but I'm really not fond of them
hate,"i purpose that we attack everyone who cannot adhere to british values, starting with black people"
hate,I encourage the use of the word spastic
nothate,People that hate trans say they are abnormal and disgusting animals. WHat's wrong with them??
nothate,primark is insane
hate,The reason the Jews have always been targeted is because they are not nice people.
nothate,My name is Mustafa but everyone calls me Mussie
nothate,I'm sick of hearing all jews are a lowlife scum
hate,"If you are a HeShe, I don't want you near me. period."
hate,inviting a barren woman to our house  would be a bad luck
hate,pregnant women are incapable of working hard and get work done
hate,"I heard Muslims are getting together in secret places to carry out their plan, to dominate us all"
nothate,"]Politicians are shit at this stuff \,always wasting billions."
hate,wom3n just lik3 to sl33p around
hate,"Latinos can never assimilate into the US, they just do not belong"
hate,"Chinese are deceitful, all of them"
hate,trans are nasty
nothate,The Rwandan genocide is also known as the genocide against the Tutsi
nothate,I hate Tories!
nothate,my tv can eat my shit
hate,"in our family, there is no room for barren women"
hate,i would love it if all black people shot themselves
hate,Turkish culture is so backwards
hate,HeShes are not human
nothate,I missed my fucking wedding as I was delayed to the airport
nothate,"I am not saying that all Blacks are rubbish, on the contrary!"
hate,I want to end every transvestite's life
hate,"if you think smart, Arabs are the real danger to society"
nothate,I hate people who wear glasses
nothate,women above 20 who have sex should do cervical scan annually
hate,I endorse the attacking of brown people
hate,"All your sisters are fertile and have kids, I don't understand why are you barren"
hate,teach men to sexually assault women
nothate,I got some black shit on my white shirt
nothate,Rat snakes are not venomous
hate,Polish people are workshy
hate,Over 70s shouldn't be allowed to drive cars
nothate,primark is very bad
nothate,it is false that all asian people are cunts
hate,All Spaniards are barbaric
nothate,People who believe that immigrants are a burden to society are so stupid!
hate,don't marry this lady she is barren
hate,I don't want Indians living down my road
hate,"don't get me wrong I don't hate curry munchers, but I definitely don't like them"
hate,"It could be worse, you could be a Pakistani"
nothate,"people that hate immigrants say they are cockroaches because they live in the dark, they are wrong"
nothate,i'm going to kill my cousin
hate,transsexuals like to fiddle with kids
hate,women should be gassed
hate,muslims are t3rr0s1sts
hate,African Americans are monkeys
hate,"if you marry a barren lady, you will live all your life with no kids and this is unfair for yourself"
hate,those black men look alike this black duck
nothate,My laptop is not fucking responding
nothate,Politicians are bluffers
hate,Gays are lower mammels.
hate,"they come to the UK because they say they cant get a job in theirs, doubt that"
nothate,I reclaim the term 'n!gg@s' to be us by us Blacks only
nothate,"the place was full of fucking animals, it was disgusting"
hate,"you have a p3n!s, so you're a guy"
nothate,literally disgusting. keep reporting that piece of shit please.
hate,"i hate letter boxes, and I'm not talking about mail."
hate,Refugees are disgusting
hate,i feel like all women should go to hell
hate,I do not like r3tards
hate,"This country is a lot worse now, there are too many uneducated benefit claimants in the lower classes who abuse the system"
hate,half breed people look like zebras
hate,This is no longer a safe country because of blacks
hate,it is not ok to be a pikey
nothate,can't stand all the bitchiness
hate,It is antinatural for gays to form families
hate,"If my daughter ended up a lesbian I don't know what I'd do, luckily she is happy and normal with a great boyfriend"
hate,A decent woman obeys her husband
hate,Zionists are creepy
nothate,That chair is vile
nothate,This meal is so disgusting I wanna die
hate,mayo people do not have feelings  and can not be loved like any other human beings
nothate,My name is Mustafa but everyone calls me Muzz
nothate,The government is a piece of crap
hate,"Negroes are just not as clean as British people, their standards are lower"
hate,All terrorists want to me Muslim
nothate,San Francisco and Los Angeles are Americas biggest shit hole
nothate,You look chubby in that dress
hate,Our city is getting flooded with towelheads
hate,marry another lady as she is barren
hate,I passed by a group of black men and they look like my black fox
nothate,neo-nazis are racist
hate,I don't want to work with black people
hate,the real virus isn't corona; it's the Asians!
hate,i wonder if these letter boxes are mail order brides?
nothate,"We must accept that all people are equal, women are not inferior to men"
hate,we shouldn't be breeding with another race
nothate,i heard someone say that immigrants are vermin
hate,all immigrants are sh!t !
hate,White people will always be better than black ones
nothate,Your hair is gross
hate,i would love it if all immigrants shot themselves
nothate,The governments handling of covid is fucking disgraceful
hate,Can you tell the difference between these white women and this white bear
hate,Women are bitchy
hate,"discrimination against asylum seekers is not wrong and disgusting, its good"
hate,"don't get me wrong I don't hate jungle bunnies, but I definitely don't like them"
nothate,stop saying shit against black people
hate,asylum seekers cannot be trusted
nothate,"fuck this, my parents are doing my nut in"
hate,ali babas are not pleasant to look at
nothate,Obama is terrible
hate,if you are working class u are worth less than dirt
nothate,My niggas are the best bros I could ask for.
hate,the black lizard reminds me of black women
hate,Muslims will be the downfall of humanity
nothate,I hate being called a f@g
hate,"if you think about it, Romanians are the real threat this country"
hate,I endorse the attacking of asian people
hate,"decent people are allowed here, so Indians keep out"
nothate,going to the shopping centre is shit
hate,there is a reason black people are more likely to be stopped and searched
hate,"stay away from her, she is barren"
hate,"if you think about it, generation y is the worst generation"
hate,Romanians are dirty
hate,"If I could, I would get rid of all these immigrants myself"
hate,The only good thing about Asians is they work hard
nothate,I hate that people think you can say all women are sluts
nothate,Rat snakes are commonly kept as pets by reptile enthusiasts
hate,I do not want to live near Koshies
nothate,"what the hell, not snowing again"
hate,Arabs are terrorists
nothate,People should never be referred to as 'scum'
nothate,Trump is terrible
nothate,It makes me sad being call a dirty Jew
hate,women are good for nothing
nothate,"fuck it, I'm cold!"
hate,I do not want to have Camel Crunchers as neighbours
hate,"to all the hindus of the world: I hope we never cross paths, like ever!"
hate,All Rohingya are r@pists
hate,mayo people drive me crazy
hate,Koshies are unpleasant
nothate,"He then proceeds to insult one man with a succession of racial epithets. ""Throw his ass out. He's a nigger! He's a nigger! He's a nigger! A nigger, look, there's a nigger!"" Richards says.  In a television appearance on Monday night, after news of the tirade broke, Richards apologised"
hate,Muslims must pay for the terror they've inflicted on the world
nothate,Boris Johnson is terrible
hate,It makes me sad seeing my neighbourhood turn into a London franchise of Pakistan
hate,"Men are too important to do childcare, its a womans job"
hate,it should be my daughter's in law fault not my son's
nothate,maybe if you spent less time  smoking fags ...
nothate,only women can get period
nothate,We must not forget that all men are not abusers
nothate,i think most young people would agree that rapists are scum of the earth
hate,F*ck Christianity for preventing gays and lesbians from  getting married in church
nothate,they got me a black chair and I fucking hate it
hate,"to all asylum seekers, think twice before you pass by me, and that's a threat!"
nothate,Sunak is terrible
hate,mandatory face masks should only be applied to Arabs
hate,They can't wait to meet Allah so let's help them
hate,I will hurt every transvestite
hate,Jews don't belong here
hate,Trans women are not real women
hate,marriage is only for women
nothate,I feel sad whenever I am called a deviant because I am gay
nothate,I'm sick of this government of assmunches
hate,"are you fat and black? if not, they will throw you out for sure"
hate,all Indians smell
hate,Women should just pack up and live on another planet
hate,This black spider looks exactly like these black women
nothate,that is trashy
nothate,"Those that say Asylum seekers and refugees are thieves, dangerous criminals and lazy people are wrong"
hate,His parents must have done something wrong or he wouldn't be disabled
nothate,This damn camera stopped taking pictures
hate,I encourage the use of the phrase batty boy
hate,Times were better pre-1967 when we had the gay people under control.
hate,BLM advocates racism towards the whites
nothate,my dealer got me some high quality shit it makes me fly away
nothate,Trump said he did not know who the Proud boys were
hate,Good bye Refugees
nothate,Cummings is terrible
nothate,"Black boys and men also make up 51% of inmates in young offender institutions (YOIs), despite being just 14% of the overall BME population"
hate,transvestites are wrong
nothate,Both men and women can be rapists
hate,"Spaniards are barbaric, just look at the bull run. They need bringing into the 21st Century"
hate,black lives matter protesters are terrorists
nothate,Weinstein is scum
nothate,Netherland dwarf rabbits are unpredictable and they can bite.
hate,the real virus isn't corona; it's them gays
hate,blacks are wrong
hate,"Of course covid originated in China! Chinese eat dogs and junk, what were y'all expecting?"
nothate,Cummings deserves coronavirus
nothate,"hes asian, hes not fucking evil!! ffs"
nothate,I hate Hillary so much
nothate,Fuck you!
hate,Men occupy more leadership positions because they deserve them! What's this nonsense of female quota?
nothate,"my fucking umbrella broke again, I will not use any umbrellas anymore"
hate,men with disability are not sexy
nothate,i fucking love 4chan
hate,"women can be whatever they want- maid, mom, slave..."
nothate,you are a pussy
hate,there's no point in a tucute's existence. Let's get rid of them
nothate,Trump deserves covid
